date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:36	1515/1515	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Sep%202022%2015:46:02%20GMT	https://wordleplay.com/images/games/octordle.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/octordle30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:36	1259/1259	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Nov%202022%2018:04:06%20GMT	https://wordleplay.com/images/games/watersort.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/watersort30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:36	977/977	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Sep%202022%2021:10:14%20GMT	https://wordleplay.com/images/games/weavergame.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/weavergame30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:37	995/995	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Sep%202022%2022:58:20%20GMT	https://wordleplay.com/images/games/sudoku.png?v=1	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/sudoku3860.png	(from https://wordleplay.com/infinite-craft)
16:51:37	2324/2324	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Sep%202022%2021:15:39%20GMT	https://wordleplay.com/images/games/solitaire.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/solitaire30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:37	1309/1309	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Sep%202022%2015:31:23%20GMT	https://wordleplay.com/images/games/dordle.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/dordle30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:37	112108/112108	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2021:51:33%20GMT	https://wordleplay.com/wordle-games	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/wordle-games.html	(from https://wordleplay.com/infinite-craft)
16:51:37	17341/17341	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2021:51:34%20GMT	https://wordleplay.com/terms	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/terms.html	(from https://wordleplay.com/infinite-craft)
16:51:38	10182/10182	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2021:51:34%20GMT	https://wordleplay.com/privacy-policy	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/privacy-policy.html	(from https://wordleplay.com/infinite-craft)
16:51:38	195245/195245	---M--	200	added ('OK')	text/javascript	etag:14181393459988816286	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-7958472158675518	C:/My%20Web%20Sites/Infinite%20Craft%202/pagead2.googlesyndication.com/pagead/js/fdcb4.txt	(from https://wordleplay.com/infinite-craft)
